images,classes,xmls
../data/xuelang_round1_train_part3_20180709/缺纬/J01_2018.06.23 13_21_18.jpg,缺纬,../data/xuelang_round1_train_part3_20180709/缺纬/J01_2018.06.23 13_21_18.xml
../data/xuelang_round1_train_part3_20180709/缺纬/J01_2018.06.20 15_17_51.jpg,缺纬,../data/xuelang_round1_train_part3_20180709/缺纬/J01_2018.06.20 15_17_51.xml
../data/xuelang_round1_train_part3_20180709/缺纬/J01_2018.06.19 13_23_53.jpg,缺纬,../data/xuelang_round1_train_part3_20180709/缺纬/J01_2018.06.19 13_23_53.xml
../data/xuelang_round1_train_part3_20180709/缺纬/J01_2018.06.13 14_12_05.jpg,缺纬,../data/xuelang_round1_train_part3_20180709/缺纬/J01_2018.06.13 14_12_05.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.28 15_19_28.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.28 15_19_28.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.23 08_42_51.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.23 08_42_51.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.25 09_03_56.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.25 09_03_56.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.23 10_28_59.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.23 10_28_59.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.28 13_14_56.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.28 13_14_56.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.26 13_53_34.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.26 13_53_34.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.27 08_51_18.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.27 08_51_18.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.19 14_11_29.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.19 14_11_29.xml
../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.17 14_36_08.jpg,吊经,../data/xuelang_round1_train_part3_20180709/吊经/J01_2018.06.17 14_36_08.xml
